,cid,smiles
153,6321418,S(=O)(=O)([O-])c1c2c(c(N)c(S(=O)(=O)[O-])c1)C(=O)C(=NNc1c(cc(c3cc(c(NN=C4C(=O)c5c(c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c5N)C=C4)cc3)C)cc1)C)C=C2.[Na+].[Na+].[Na+].[Na+]
154,142775,CS(=O)(=O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COS(C)(=O)=O
155,68911,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4
156,11967809,CC1(C)\C(=C\C=C\C=C\C=C\C2=[N+](CCCCS(O)(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS(O)(=O)=O)C2=C1C1=CC=CC=C1C=C2
157,3086677,[H][C@@]12CN(C[C@]1([H])[C@H]2NC(=O)[C@H](C)NC(=O)[C@H](C)N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1F)C(O)=O
158,6323497,O([C@H]1[C@@H]([C@H](O)[C@@H]([C@@H](O)[C@@H](C)/C=C/C=C(\C(=O)NC2=C(O)c3c(C(=O)/C/2=C/NN2CCN(C4CCCC4)CC2)c2c(O[C@](O/C=C/[C@H](OC)[C@H]1C)(C2=O)C)c(c3O)C)/C)C)C)C(=O)C
159,443445,[Zn++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O
160,5280585,Oc1c(C/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)\C)c(c(O)c2c1cccc2)C
161,5280581,OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC
162,108000,O=C([C@@H]1CCc2nc[nH]c2C1)c1c2c(n(c1)C)cccc2
163,123707,S(=O)(=O)(c1cc(ccc1C)C(O)CNCCOc1c(OC)cccc1)N
164,56840904,OS(O)(=O)=O.NC(=N)NCC1=CC([123I])=CC=C1.NC(=N)NCC1=CC([123I])=CC=C1
165,3348,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
166,3342,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
167,3343,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1
168,5452,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
169,3341,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
170,5280343,o1c2c(c(=O)c(O)c1c1cc(O)c(O)cc1)c(O)cc(O)c2
171,5456,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(OC)C=C1)C1=NC=CC=N1
172,3345,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
173,6262,NCCC[C@H](N)C(O)=O
174,16129620,S(CCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N)Cc1ccc(O)cc1)C)CC(=O)O)C)C(CC)C)Cc1ccccc1)C(O)C)CC(=O)N)CO)Cc1ccc(O)cc1)CCCNC(=N)N)CCCCN)C(C)C)CC(C)C)CCC(=O)N)CC(C)C)CO)C)CCCNC(=N)N)CCCCN)CC(C)C)CC(C)C)CCC(=O)N)CC(=O)O)C(CC)C)C(=O)NC(CO)C(=O)NC(CCCNC(=N)N)C(=O)N)C
175,23680486,C(=O)([C@@H](NC(=O)c1ccccc1)Cc1ccc(cc1)O)Nc1ccc(C(=O)O)cc1
176,1174,O=c1[nH]c(=O)cc[nH]1
177,157922,COC(=O)CCC(=O)CN
178,157920,FC(F)([C@@]1(O[C@H]2[C@@H]([C@H](C(=O)C2)CCCCCCC(=O)O)CC1)O)CCCC
179,71329,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
180,5533,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
181,28693,O(C(=O)NC[C@@H]1C[C@H]2[C@H](N(C1)C)Cc1c3c2cccc3n(c1)C)Cc1ccccc1
182,24526,ClCl
183,5530,NC1CC1C1=CC=CC=C1
184,123631,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
185,123630,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)S2(=O)=O
186,44591583,OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2
187,5538,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
188,123639,OC(CNCCCCc1ccc(O)cc1)c1cc(O)c(O)cc1
189,513,N1([C@H](c2cnccc2)CCC1)C
190,24775005,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1
191,208898,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
192,183088,O[C@@H]1[C@H]2N([C@@H](C1)C[C@H](OC(=O)[C@@H](c1ccccc1)CO)C2)C
193,6099,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
